image_id,crack_px,knot_crack_px,h,w,any_crack
100000000,0,0,1024,2800,False
100000039,0,0,1024,2800,False
100000078,0,0,1024,2800,False
100100033,0,56377,1024,2800,True
100100076,0,0,1024,2800,False
100400015,0,0,1024,2800,False
100400056,0,0,1024,2800,False
100500006,0,0,1024,2800,False
100500045,0,0,1024,2800,False
100700023,0,0,1024,2800,False
100700068,0,0,1024,2800,False
101100023,0,0,1024,2800,False
101100062,11,0,1024,2800,True
101500009,0,0,1024,2800,False
101500050,0,0,1024,2800,False
101600005,0,0,1024,2800,False
101600063,0,0,1024,2800,False
101700025,0,0,1024,2800,False
101700072,0,0,1024,2800,False
101900008,0,0,1024,2800,False
101900063,0,0,1024,2800,False
102100022,0,0,1024,2800,False
103000030,0,0,1024,2800,False
103200011,0,0,1024,2800,False
103200050,0,0,1024,2800,False
103300014,0,0,1024,2800,False
103400036,0,0,1024,2800,False
103400079,0,0,1024,2800,False
103500057,15481,0,1024,2800,True
103700032,0,0,1024,2800,False
103900015,0,0,1024,2800,False
103900060,0,0,1024,2800,False
104600018,46560,0,1024,2800,True
104600076,0,0,1024,2800,False
104700042,0,0,1024,2800,False
104800005,0,0,1024,2800,False
104900015,0,0,1024,2800,False
104900054,0,0,1024,2800,False
105100010,0,0,1024,2800,False
105100049,0,0,1024,2800,False
105200028,0,0,1024,2800,False
105200079,0,0,1024,2800,False
105300041,0,0,1024,2800,False
105300082,0,0,1024,2800,False
105600008,0,0,1024,2800,False
105600046,0,0,1024,2800,False
105900001,0,147,1024,2800,True
105900039,0,71353,1024,2800,True
106000029,0,0,1024,2800,False
106100014,16782,0,1024,2800,True
106100057,0,88,1024,2800,True
106200023,0,0,1024,2800,False
106200072,0,0,1024,2800,False
106300024,0,0,1024,2800,False
106500009,0,0,1024,2800,False
106500049,14978,0,1024,2800,True
106600012,0,0,1024,2800,False
106600051,0,0,1024,2800,False
106700069,0,45808,1024,2800,True
106900022,0,0,1024,2800,False
106900059,0,0,1024,2800,False
107900006,0,0,1024,2800,False
107900056,0,0,1024,2800,False
108400041,33831,0,1024,2800,True
108600001,0,0,1024,2800,False
108600055,0,0,1024,2800,False
108900031,0,0,1024,2800,False
108900068,0,45390,1024,2800,True
109200018,0,0,1024,2800,False
109200067,0,0,1024,2800,False
109300037,0,0,1024,2800,False
109600020,0,0,1024,2800,False
109600063,0,0,1024,2800,False
109700039,0,0,1024,2800,False
109700083,0,0,1024,2800,False
109800036,0,0,1024,2800,False
109800074,0,0,1024,2800,False
110100034,42517,0,1024,2800,True
110100071,0,0,1024,2800,False
110400028,0,20115,1024,2800,True
110400077,0,0,1024,2800,False
110700000,0,27138,1024,2800,True
110700040,0,0,1024,2800,False
110900016,0,0,1024,2800,False
110900053,0,0,1024,2800,False
111000027,0,0,1024,2800,False
111200007,10090,0,1024,2800,True
111200058,0,0,1024,2800,False
111400020,0,0,1024,2800,False
111400071,0,0,1024,2800,False
111500045,0,0,1024,2800,False
111700050,22383,0,1024,2800,True
111900001,0,0,1024,2800,False
111900041,0,0,1024,2800,False
111900079,0,0,1024,2800,False
112000038,0,0,1024,2800,False
112500021,0,0,1024,2800,False
112500068,0,0,1024,2800,False
112600027,0,0,1024,2800,False
112600081,0,0,1024,2800,False
112800035,0,0,1024,2800,False
112800072,0,0,1024,2800,False
113100029,0,34137,1024,2800,True
113300021,0,0,1024,2800,False
113300059,0,0,1024,2800,False
113400031,0,0,1024,2800,False
113400079,0,0,1024,2800,False
113500040,0,0,1024,2800,False
113700040,0,0,1024,2800,False
113700078,0,0,1024,2800,False
114600005,0,94489,1024,2800,True
114600043,0,0,1024,2800,False
114600081,0,0,1024,2800,False
114700064,0,0,1024,2800,False
114900043,0,0,1024,2800,False
115100045,0,0,1024,2800,False
115300011,0,0,1024,2800,False
115300080,0,0,1024,2800,False
115500070,0,48815,1024,2800,True
115600054,0,0,1024,2800,False
116000010,0,16960,1024,2800,True
116100027,0,0,1024,2800,False
116100065,0,0,1024,2800,False
116400059,0,0,1024,2800,False
116500083,0,0,1024,2800,False
116900036,0,0,1024,2800,False
116900074,0,0,1024,2800,False
117700054,0,0,1024,2800,False
117900019,0,0,1024,2800,False
117900065,0,0,1024,2800,False
118300014,0,0,1024,2800,False
118300052,0,9,1024,2800,True
118500006,0,0,1024,2800,False
118600012,0,0,1024,2800,False
118600068,0,0,1024,2800,False
118800026,0,0,1024,2800,False
118800065,0,0,1024,2800,False
118900041,0,0,1024,2800,False
119100019,0,0,1024,2800,False
119100058,0,53718,1024,2800,True
119300073,0,0,1024,2800,False
119400020,0,0,1024,2800,False
119400057,0,0,1024,2800,False
119700034,0,11747,1024,2800,True
120000016,0,0,1024,2800,False
120000053,0,0,1024,2800,False
120200008,0,0,1024,2800,False
120200048,0,0,1024,2800,False
120300042,0,0,1024,2800,False
120300079,0,0,1024,2800,False
121200046,0,0,1024,2800,False
121400007,0,0,1024,2800,False
121400067,0,0,1024,2800,False
121500022,0,29486,1024,2800,True
121500061,0,0,1024,2800,False
121600060,0,0,1024,2800,False
121800017,0,0,1024,2800,False
121800055,0,0,1024,2800,False
121900050,0,0,1024,2800,False
122300022,0,0,1024,2800,False
122300065,0,0,1024,2800,False
122400016,0,0,1024,2800,False
122400065,0,0,1024,2800,False
122500038,0,0,1024,2800,False
122500081,0,0,1024,2800,False
122600064,0,72638,1024,2800,True
122700038,0,0,1024,2800,False
122700084,0,0,1024,2800,False
122900057,0,0,1024,2800,False
123000081,0,0,1024,2800,False
123300030,0,77204,1024,2800,True
123300073,0,0,1024,2800,False
123600048,24689,0,1024,2800,True
123700024,0,0,1024,2800,False
123700062,0,0,1024,2800,False
123800016,26994,136285,1024,2800,True
123800054,0,0,1024,2800,False
124000007,0,34532,1024,2800,True
124000072,0,0,1024,2800,False
124200022,0,0,1024,2800,False
124200075,0,0,1024,2800,False
124400028,11432,0,1024,2800,True
124400078,0,0,1024,2800,False
124500053,0,0,1024,2800,False
124600043,0,0,1024,2800,False
124700021,0,0,1024,2800,False
124700059,0,0,1024,2800,False
124800012,0,113277,1024,2800,True
124800051,0,0,1024,2800,False
125100011,0,0,1024,2800,False
125100053,0,0,1024,2800,False
125200025,0,0,1024,2800,False
125200080,0,0,1024,2800,False
125400036,0,0,1024,2800,False
125400073,0,0,1024,2800,False
125600026,0,45564,1024,2800,True
125600070,0,0,1024,2800,False
125700030,0,0,1024,2800,False
125700069,0,0,1024,2800,False
125800016,0,0,1024,2800,False
125800070,0,0,1024,2800,False
126500019,0,0,1024,2800,False
126600060,0,0,1024,2800,False
126800028,0,0,1024,2800,False
126800066,0,0,1024,2800,False
127000013,0,0,1024,2800,False
127000063,0,0,1024,2800,False
127200026,0,0,1024,2800,False
127300013,0,0,1024,2800,False
127300054,0,0,1024,2800,False
127600006,0,43757,1024,2800,True
127600047,9325,0,1024,2800,True
127900062,0,0,1024,2800,False
128200020,0,0,1024,2800,False
128200058,0,0,1024,2800,False
128300005,23506,45126,1024,2800,True
128300052,0,0,1024,2800,False
128500007,0,0,1024,2800,False
128500046,0,0,1024,2800,False
128700059,0,0,1024,2800,False
128800016,0,0,1024,2800,False
129100037,0,0,1024,2800,False
129100081,0,0,1024,2800,False
129300041,0,0,1024,2800,False
129300079,0,0,1024,2800,False
129400036,0,60818,1024,2800,True
129400080,0,0,1024,2800,False
129500035,38394,37522,1024,2800,True
129700025,0,0,1024,2800,False
129700065,0,0,1024,2800,False
129800012,0,0,1024,2800,False
129800053,0,0,1024,2800,False
129900029,0,0,1024,2800,False
130200001,0,0,1024,2800,False
130300031,39947,14580,1024,2800,True
130400037,0,0,1024,2800,False
130400079,0,0,1024,2800,False
130500046,0,0,1024,2800,False
130700072,0,0,1024,2800,False
130800025,0,0,1024,2800,False
130800063,0,0,1024,2800,False
