bg_id,material,source,ridge,path
magnetic_tile__MT_Free_exp0_num_743,ceramic,magnetic_tile,0.02370242214532872,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp0_num_743.png
magnetic_tile__MT_Free_exp1_num_10181,ceramic,magnetic_tile,0.04160732109412675,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_10181.png
magnetic_tile__MT_Free_exp1_num_10334,ceramic,magnetic_tile,0.0501063823301693,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_10334.png
magnetic_tile__MT_Free_exp1_num_106151,ceramic,magnetic_tile,0.016445023512145444,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_106151.png
magnetic_tile__MT_Free_exp1_num_106729,ceramic,magnetic_tile,0.05029707201585392,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_106729.png
magnetic_tile__MT_Free_exp1_num_10903,ceramic,magnetic_tile,0.04530608680464588,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_10903.png
magnetic_tile__MT_Free_exp1_num_110086,ceramic,magnetic_tile,0.017308618199325953,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_110086.png
magnetic_tile__MT_Free_exp1_num_11276,ceramic,magnetic_tile,0.011816909404118706,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_11276.png
magnetic_tile__MT_Free_exp1_num_116270,ceramic,magnetic_tile,0.01790475975258584,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_116270.png
magnetic_tile__MT_Free_exp1_num_118871,ceramic,magnetic_tile,0.0132309719266241,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_118871.png
magnetic_tile__MT_Free_exp1_num_126299,ceramic,magnetic_tile,0.013744323433669573,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_126299.png
magnetic_tile__MT_Free_exp1_num_126795,ceramic,magnetic_tile,0.034219503436954964,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_126795.png
magnetic_tile__MT_Free_exp1_num_127649,ceramic,magnetic_tile,0.048177530161421636,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_127649.png
magnetic_tile__MT_Free_exp1_num_128075,ceramic,magnetic_tile,0.05287168089835068,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_128075.png
magnetic_tile__MT_Free_exp1_num_129580,ceramic,magnetic_tile,0.016294322607091617,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_129580.png
magnetic_tile__MT_Free_exp1_num_138599,ceramic,magnetic_tile,0.019500093929472384,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_138599.png
magnetic_tile__MT_Free_exp1_num_143147,ceramic,magnetic_tile,0.017189642339483686,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_143147.png
magnetic_tile__MT_Free_exp1_num_144162,ceramic,magnetic_tile,0.024169923407728285,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_144162.png
magnetic_tile__MT_Free_exp1_num_147928,ceramic,magnetic_tile,0.014576343616740768,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_147928.png
magnetic_tile__MT_Free_exp1_num_148923,ceramic,magnetic_tile,0.051317294317654936,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_148923.png
magnetic_tile__MT_Free_exp1_num_154549,ceramic,magnetic_tile,0.027919644462423586,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_154549.png
magnetic_tile__MT_Free_exp1_num_157166,ceramic,magnetic_tile,0.04372638855397476,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_157166.png
magnetic_tile__MT_Free_exp1_num_157675,ceramic,magnetic_tile,0.0045385648833924696,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_157675.png
magnetic_tile__MT_Free_exp1_num_16503,ceramic,magnetic_tile,0.021430344492726346,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_16503.png
magnetic_tile__MT_Free_exp1_num_166172,ceramic,magnetic_tile,0.0,data\backgrounds\ceramic\magnetic_tile__MT_Free_exp1_num_166172.png
